,Ticker,Narative,MC Rank,MC,FDV,AVG Daily volume,ATH,LOW,Exchanges
0,0x0,"(il y a des tag sur Coingecko, p.ex : AI ; RWA ; … )",Ranking en terme de market cap,Market cap,Fully dilluted value,volume tradé daily moyen en $,prix le plus haut atteint,prix le plus bas atteint,Token dispo sur ces exchanges
1,3ULL,,,,,,,,
2,ABEL,,,,,,,,
3,AIMX,,,,,,,,
4,AIPG,,,,,,,,
5,AIT,,,,,,,,
6,ALEO,,,,,,,,
7,ALEX,,,,,,,,
8,ANOMA,,,,,,,,
9,AQTIS,,,,,,,,
10,ARC,,,,,,,,
11,ASTROX,,,,,,,,
12,AXL,,,,,,,,
13,AZERO,,,,,,,,
14,AZTEC,,,,,,,,
15,BETS,,,,,,,,
16,BIONIC,,,,,,,,
17,BROCK,,,,,,,,
18,NMT,,,,,,,,
19,BST,,,,,,,,
20,WELSH,,,,,,,,
21,CARBZ,,,,,,,,
22,CAU,,,,,,,,
23,CBY,,,,,,,,
24,CFG,,,,,,,,
25,CGPT,,,,,,,,
26,CHAX,,,,,,,,
27,CONX,,,,,,,,
28,VMINT,,,,,,,,
29,CREDIX,,,,,,,,
30,CYBER,,,,,,,,
31,DCK,,,,,,,,
32,DIKO,,,,,,,,
33,DINERO,,,,,,,,
34,DUA,,,,,,,,
35,ENQAI,,,,,,,,
36,FOCUS,,,,,,,,
37,FORT,,,,,,,,
38,FUEL,,,,,,,,
39,FX1,,,,,,,,
40,GEL,,,,,,,,
41,GENE,,,,,,,,
42,GFI,,,,,,,,
43,GROW,,,,,,,,
44,GRT,,,,,,,,
45,GSWIFT,,,,,,,,
46,GUARDIAN,,,,,,,,
47,HELLO,,,,,,,,
48,HILO,,,,,,,,
49,HONEY,,,,,,,,
50,JAM,,,,,,,,
51,JOY,,,,,,,,
52,JVL,,,,,,,,
53,KAS,,,,,,,,
54,KLS,,,,,,,,
55,KYVE,,,,,,,,
56,LAI,,,,,,,,
57,LAKE,,,,,,,,
58,LEOX,,,,,,,,
59,LEVER,,,,,,,,
60,LILA,,,,,,,,
61,LNDX,,,,,,,,
62,LYUM,,,,,,,,
63,ML,,,,,,,,
64,MOZ,,,,,,,,
65,MPC,,,,,,,,
66,MYRIA,,,,,,,,
67,NAMADA,,,,,,,,
68,NEON,,,,,,,,
69,NEXA,,,,,,,,
70,NOS,,,,,,,,
71,OCTA,,,,,,,,
72,OLAS,,,,,,,,
73,ONDO,,,,,,,,
74,OPSEC,,,,,,,,
75,ORNJ,,,,,,,,
76,PAAL,,,,,,,,
77,PASG,,,,,,,,
78,PEAQ,,,,,,,,
79,PICA,,,,,,,,
80,PMPY,,,,,,,,
81,PRIME,,,,,,,,
82,QUBIC,,,,,,,,
83,RLB,,,,,,,,
84,RSC,,,,,,,,
85,SATS,,,,,,,,
86,SEED,,,,,,,,
87,SHRAP,,,,,,,,
88,SMT,,,,,,,,
89,SOLV,,,,,,,,
90,SPACE,,,,,,,,
91,TAO,,,,,,,,
92,TRAC,,,,,,,,
93,TRUS,,,,,,,,
94,UNIT,,,,,,,,
95,VENOM,,,,,,,,
96,VITA,,,,,,,,
97,VRTX,,,,,,,,
98,WEBAI,,,,,,,,
99,WINR,,,,,,,,
100,XNA,,,,,,,,
101,XPERP,,,,,,,,
102,ZEPH,,,,,,,,
103,ZKLINK,,,,,,,,
